model,base,covered_extra,missing_factor_probe
cue,0.4867745152088629,0.48434666486878636,0.39645509953425034
expanded_bootstrap,0.47677033121333323,0.47654020874837244,0.36311563168944144
expanded_stacking,0.47801728826506773,0.4765623579668829,0.35621392089476533
output_disagreement_select,0.49002307995226635,0.4907787800098043,0.3830418749903767
output_marginal_select,0.4937450033989791,0.4884194950591375,0.35659258811215244
source_offset,0.6163777971708744,0.6177111536569954,0.5923543314973794
